query,referenceitem
Webber Naturals Magnesium Citrate Capsules 150 mg - 60 Capsules,Vitamins
Wholesome Sweeteners Organic Fair-Trade Dark Brown Sugar - 680 g,Sugar
Nature's Path Waffles GF Homestyle,Waffles
Bob Red Mill Whole Ground Flaxseed,Flour
Snyder's GF Pretzel Sticks,Chips
Que Organic Tortillas,Chips
Snyder's GF Mini Pretzels,Chips
Doughnut,Baked good
Donut,Baked good
SCHAR GF CIABATTA BUNS,Hot dog buns
NATP  FRUIT   JUICE   CORN  FLAKES,Cereal
ODO HAMBURGER   BUNS,Hot dog buns
WALKER'S GINGER  LEMON SHORTBREAD,Cookies
NEAL ORGANIC SALSA,Salsa
HUMMUS,Salsa
TINK BROWN  RICE  FETTUCINI  397,Pasta
Nativa Organic HAZELNUT spread,Jam
BRIDGE  PoTATO CHIPS,Chips
NATP   BUCKWHEAT  WILDBRRY WAFFL,Waffles
NATP WAFFLES GF HOMESTYLE,Waffles
SCHAR GF  ENTERTAINMENT  CRACKE,Crackers
Cinnamon Maple Bun,Baked good
Mac & Cheese,Mac and cheese
Caramel Chocolate Chip Cookie Bar,Cookies
Purest White Bread,Bread
Chicken Brast Strips EatWell,Chicken nuggets
Oat Beverage,Milk
